fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url
2025-11-29 18:02:18;Estación Central;casa;Casa En Venta De 4 Dorm. En Estación Central;4800;CLF;4 dormitorios;3 baños;112 m² útiles;4 dormitorios | 3 baños | 112 m² útiles;Laguna Del Inca / Cuadro Verde, Metro Pajaritos, Estación Central;
2025-11-29 18:02:18;Estación Central;casa;Casa Av Las Rejas C/ 5 De Abril, 225 Mts, Precio Rebajado;130000000;CLP;4 dormitorios;1 baño;125 m² útiles;4 dormitorios | 1 baño | 125 m² útiles;Las Gardenias 700, Estación Central, Metro Las Rejas, Estación Central;
2025-11-29 18:02:18;Estación Central;casa;Casa En Tradicional Barrio. Metro Las Rejas. Lindo Patio. ;125000000;CLP;3 dormitorios;1 baño;97 m² útiles;3 dormitorios | 1 baño | 97 m² útiles;Los Alerces 1 - 300, Santiago, Estación Central, Metro Las Rejas, Estación Central;
2025-11-29 18:02:18;Estación Central;casa;Se Vende Casa Aislada En Estación Central Stag.;8116;CLF;4 dormitorios;2 baños;83 m² útiles;4 dormitorios | 2 baños | 83 m² útiles;Vista Hermosa, Estación Central, Metro Pajaritos, Estación Central;
2025-11-29 18:02:18;Estación Central;casa;Amplia Casa De Dos Pisos Remodelada, Villa Moderna;140000000;CLP;4 dormitorios;1 baño;110 m² útiles;4 dormitorios | 1 baño | 110 m² útiles;Padre Jaime Larraín Hurtado 600 - 900, Santiago, Estación Central, Nogales - San Eugenio, Estación Central;
2025-11-29 18:02:18;Estación Central;casa;Excelente Propiedad En Av. Gladys Marín;285000000;CLP;5 dormitorios;3 baños;126 m² útiles;5 dormitorios | 3 baños | 126 m² útiles;Avenida Gladys Marín Millie 6647, Santiago, Estación Central, Chile, Metro Pajaritos, Estación Central;
2025-11-29 18:02:18;Estación Central;casa;Excelente Casa En Villa España;3150;CLF;3 dormitorios;1 baño;90 m² útiles;3 dormitorios | 1 baño | 90 m² útiles;Pje. Miguel De Cervantes 576, Santiago, Estación Central, Villa Francia, Estación Central;
2025-11-29 18:02:18;Estación Central;casa;Oportunidad Venta De Casa Cercana A Metro Padre Hurtado;1920;CLF;4 dormitorios;1 baño;80 m² útiles;4 dormitorios | 1 baño | 80 m² útiles;Padre Vicente Irarrázabal 1018, Estación Central, Región Metropolitana, Chile, Nogales - San Eugenio, Estación Central;
2025-11-29 18:02:18;Estación Central;casa;Casa Sector  Las Rejas 130 Millones;130000000;CLP;4 dormitorios;1 baño;110 m² útiles;4 dormitorios | 1 baño | 110 m² útiles;Las Gardenias 882, Santiago, Estación Central, Metro Las Rejas, Estación Central;
2025-11-29 18:02:18;Estación Central;casa;Casa En Venta De 4 Dorm. En Estación Central;3730;CLF;4 dormitorios;2 baños;89 m² útiles;4 dormitorios | 2 baños | 89 m² útiles;AVENIDA PAJARITOS//AVENIDA LAS PARECELAS//METRO LAS REJAS, Metro Pajaritos, Estación Central;
