fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url;latitud;longitud;direccion_geocoded
2025-11-29 18:02:18;Estación Central;casa;Casa En Venta De 4 Dorm. En Estación Central;4800;CLF;4 dormitorios;3 baños;112 m² útiles;4 dormitorios | 3 baños | 112 m² útiles;Laguna Del Inca / Cuadro Verde, Metro Pajaritos, Estación Central;;-33.4662989467417;-70.72334846538827;Laguna Del Inca / Cuadro Verde, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Casa Av Las Rejas C/ 5 De Abril, 225 Mts, Precio Rebajado;130000000;CLP;4 dormitorios;1 baño;125 m² útiles;4 dormitorios | 1 baño | 125 m² útiles;Las Gardenias 700, Estación Central, Metro Las Rejas, Estación Central;;-33.4575386;-70.7067561;Las Gardenias 700, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Casa En Tradicional Barrio. Metro Las Rejas. Lindo Patio. ;125000000;CLP;3 dormitorios;1 baño;97 m² útiles;3 dormitorios | 1 baño | 97 m² útiles;Los Alerces 1 - 300, Santiago, Estación Central, Metro Las Rejas, Estación Central;;-33.4642493;-70.7066675;Los Alerces 1 - 300, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Se Vende Casa Aislada En Estación Central Stag.;8116;CLF;4 dormitorios;2 baños;83 m² útiles;4 dormitorios | 2 baños | 83 m² útiles;Vista Hermosa, Estación Central, Metro Pajaritos, Estación Central;;-33.465231140013486;-70.71796588531276;Vista Hermosa, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Amplia Casa De Dos Pisos Remodelada, Villa Moderna;140000000;CLP;4 dormitorios;1 baño;110 m² útiles;4 dormitorios | 1 baño | 110 m² útiles;Padre Jaime Larraín Hurtado 600 - 900, Santiago, Estación Central, Nogales - San Eugenio, Estación Central;;-33.4709999;-70.6987544;Padre Jaime Larraín Hurtado 600 - 900, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Excelente Propiedad En Av. Gladys Marín;285000000;CLP;5 dormitorios;3 baños;126 m² útiles;5 dormitorios | 3 baños | 126 m² útiles;Avenida Gladys Marín Millie 6647, Santiago, Estación Central, Chile, Metro Pajaritos, Estación Central;;-33.46371188561151;-70.72406857194245;Avenida Gladys Marín Millie 6647, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Excelente Casa En Villa España;3150;CLF;3 dormitorios;1 baño;90 m² útiles;3 dormitorios | 1 baño | 90 m² útiles;Pje. Miguel De Cervantes 576, Santiago, Estación Central, Villa Francia, Estación Central;;-33.46710122727273;-70.70688409090909;Pje. Miguel De Cervantes 576, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Oportunidad Venta De Casa Cercana A Metro Padre Hurtado;1920;CLF;4 dormitorios;1 baño;80 m² útiles;4 dormitorios | 1 baño | 80 m² útiles;Padre Vicente Irarrázabal 1018, Estación Central, Región Metropolitana, Chile, Nogales - San Eugenio, Estación Central;;-33.46296901034483;-70.69314011034483;Padre Vicente Irarrázabal 1018, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Casa Sector  Las Rejas 130 Millones;130000000;CLP;4 dormitorios;1 baño;110 m² útiles;4 dormitorios | 1 baño | 110 m² útiles;Las Gardenias 882, Santiago, Estación Central, Metro Las Rejas, Estación Central;;-33.46392586666666;-70.7041843111111;Las Gardenias 882, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Casa En Venta De 4 Dorm. En Estación Central;3730;CLF;4 dormitorios;2 baños;89 m² útiles;4 dormitorios | 2 baños | 89 m² útiles;AVENIDA PAJARITOS//AVENIDA LAS PARECELAS//METRO LAS REJAS, Metro Pajaritos, Estación Central;;-33.4575386;-70.7067561;AVENIDA PAJARITOS//AVENIDA LAS PARECELAS// LAS REJAS, Estación Central, Santiago, Chile
