fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url;latitud;longitud;direccion_geocoded
2025-11-29 17:49:50;Ñuñoa;departamento;Guillermo Mann 1401 - Euro;4280;CLF;2 dormitorios;1 a 2 baños;46 - 57 m² útiles;2 dormitorios | 1 a 2 baños | 46 - 57 m² útiles;Guillermo Mann 1401, Ñuñoa, Estadio Nacional, Ñuñoa;;-33.4713045;-70.61858743909735;Guillermo Mann 1401, Ñuñoa, Santiago, Chile
2025-11-29 17:49:50;Ñuñoa;departamento;Vicuña Mackenna 1194 - Stitchkin;5801;CLF;2 dormitorios;2 baños;60 - 62 m² útiles;2 dormitorios | 2 baños | 60 - 62 m² útiles;Av. Vicuña Mackenna 1194, Providencia, Ñuñoa, Parque San Eugenio - Metro Ñuble, Ñuñoa;;-33.4563625;-70.62881968677635;Av. Vicuña Mackenna 1194, Ñuñoa, Santiago, Chile
2025-11-29 17:49:50;Ñuñoa;departamento;Vicuña Mackenna 1432 - Euro;3484;CLF;1 a 2 dormitorios;1 a 2 baños;29 - 54 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 29 - 54 m² útiles;Av. Vicuña Mackenna 1432, Ñuñoa, Parque San Eugenio - Metro Ñuble, Ñuñoa;;-33.44118375;-70.6336046837167;Av. Vicuña Mackenna 1432, Ñuñoa, Santiago, Chile
2025-11-29 17:49:50;Ñuñoa;departamento;Edificio Lux;6334;CLF;2 a 3 dormitorios;2 baños;60 - 93 m² útiles;2 a 3 dormitorios | 2 baños | 60 - 93 m² útiles;José Domingo Cañas 2681, Metro Ñuñoa, Ñuñoa;;-33.457670300000004;-70.6038235323396;José Domingo Cañas 2681, Ñuñoa, Santiago, Chile
2025-11-29 17:49:50;Ñuñoa;departamento;Edificio Step;2550;CLF;1 a 2 dormitorios;1 a 2 baños;21 - 60 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 21 - 60 m² útiles;Marchant Pereira 3350, Metro Ñuñoa, Ñuñoa;;-33.4544966;-70.59570881881496;Marchant Pereira 3350, Ñuñoa, Santiago, Chile
2025-11-29 17:49:50;Ñuñoa;departamento; Almagro San Eugenio ;2590;CLF;Estudio a 2 dormitorios;1 a 2 baños;25 - 68 m² útiles;Estudio a 2 dormitorios | 1 a 2 baños | 25 - 68 m² útiles;San Eugenio 509, Parque San Eugenio - Metro Ñuble, Ñuñoa;;-33.4568515;-70.6273067939895;San Eugenio 509, Ñuñoa, Santiago, Chile
2025-11-29 17:49:50;Ñuñoa;departamento;Nueva Ñuñoa;2405;CLF;1 a 2 dormitorios;1 a 2 baños;27 - 51 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 27 - 51 m² útiles;Gaspar Villarroel 1840, Estadio Nacional, Ñuñoa;;-33.472267099999996;-70.61156987534073;Gaspar Villarroel 1840, Ñuñoa, Santiago, Chile
2025-11-29 17:49:50;Ñuñoa;departamento;Almagro Plus;3190;CLF;1 a 3 dormitorios;1 a 2 baños;35 - 91 m² útiles;1 a 3 dormitorios | 1 a 2 baños | 35 - 91 m² útiles;Av. José Pedro Alessandri 1427, Ñuñoa, Estadio Nacional, Ñuñoa;;-33.46759660186916;-70.59860158785047;Av. José Pedro Alessandri 1427, Ñuñoa, Santiago, Chile
2025-11-29 17:49:50;Ñuñoa;departamento;Edificio Doménica;5200;CLF;2 a 3 dormitorios;2 a 3 baños;58 - 106 m² útiles;2 a 3 dormitorios | 2 a 3 baños | 58 - 106 m² útiles;Fernández Concha 115, Metro Irarrázaval, Ñuñoa;;-33.45442338235294;-70.6218847235294;Fernández Concha 115, Ñuñoa, Santiago, Chile
2025-11-29 17:49:50;Ñuñoa;departamento;Boheme;2574;CLF;1 a 2 dormitorios;1 a 2 baños;31 - 48 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 31 - 48 m² útiles;Los Alerces 2375, Ñuñoa, Chile, Estadio Nacional, Ñuñoa;;-33.48684309285715;-70.60814763571429;Los Alerces 2375, Ñuñoa, Santiago, Chile
