archivo,estado,filas_procesadas,crs_original,crs_final,geometrias_reparadas,area_total_m2
Lineas_de_metro_de_Santiago.geojson,normalizado,12,EPSG:4326,EPSG:32719,0,
areas_verdes_filtradas.geojson,normalizado,2162,EPSG:3857,EPSG:32719,0,11208896.43777496
atracciones_turisticas_filtradas.geojson,normalizado,70,EPSG:4326,EPSG:32719,0,
base_maestra_comunas_filtradas.geojson,normalizado,1123,EPSG:4326,EPSG:32719,0,
campamentos.geojson,normalizado,3,EPSG:4326,EPSG:32719,0,
centros_sernam_filtrados.geojson,normalizado,5,EPSG:4326,EPSG:32719,0,
circuito_turistico_filtrado.geojson,normalizado,4,EPSG:4326,EPSG:32719,0,
comunas_buffer.geojson,normalizado,4,EPSG:4326,EPSG:32719,0,149890223.57847235
cuarteles_filtrados.geojson,normalizado,16,EPSG:4326,EPSG:32719,0,
cuerpos_de_bomberos_filtrados.geojson,normalizado,2,EPSG:4326,EPSG:32719,0,
delincuencia_comunas_anual.geojson,normalizado,4,EPSG:4326,EPSG:32719,0,
establecimientos_educacion_escolar.geojson,normalizado,458,EPSG:4326,EPSG:32719,0,
establecimientos_educacion_superior.geojson,normalizado,363,EPSG:4326,EPSG:32719,0,
establecimientos_parvularia_filtrados.geojson,normalizado,456,EPSG:4326,EPSG:32719,0,
estaciones_calidad_aire_filtrada.geojson,normalizado,1,EPSG:4326,EPSG:32719,0,
estaciones_carga_filtradas.geojson,normalizado,40,EPSG:4326,EPSG:32719,0,
estaciones_metereológicas_filtradas.geojson,normalizado,2,EPSG:4326,EPSG:32719,0,
municipios_filtrados.geojson,normalizado,5,EPSG:4326,EPSG:32719,0,
ocio_filtrado.geojson,normalizado,606,EPSG:4326,EPSG:32719,0,14676742.426243016
poblacion2_filtrada.geojson,normalizado,1165,EPSG:4326,EPSG:32719,0,23890729.25443227
poblacion_filtrada.geojson,normalizado,2000,EPSG:4326,EPSG:32719,0,26111195.623686254
puntos_de_interes_filtrados.geojson,normalizado,192,EPSG:4326,EPSG:32719,0,
puntos_medicos_farmacias_hospitales_filtrados.geojson,normalizado,82,EPSG:4326,EPSG:32719,0,
redes_de_clinicas_filtradas.geojson,normalizado,14,EPSG:3857,EPSG:32719,0,
servicios_filtrados.geojson,normalizado,773,EPSG:4326,EPSG:32719,0,
tiendas_filtradas.geojson,normalizado,497,EPSG:4326,EPSG:32719,0,
unidades_operativas_pdi_filtradas.geojson,normalizado,22,EPSG:4326,EPSG:32719,0,
unidades_vecinales_filtradas.geojson,normalizado,68,EPSG:4326,EPSG:32719,0,46145688.36916086
vertedores_ilegales_filtrados.geojson,normalizado,2,EPSG:4326,EPSG:32719,0,
