archivo,filas,crs_original,crs_epsg,necesita_reproyeccion,geometrias_invalidas,geometrias_nulas,problema_identificado,tipos_geometria
Lineas_de_metro_de_Santiago.geojson,12,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,"{'LineString': 9, 'MultiLineString': 3}"
areas_verdes_filtradas.geojson,2162,EPSG:3857,3857,True,0,0,En Web Mercator - necesita UTM,{'MultiPolygon': 2162}
atracciones_turisticas_filtradas.geojson,70,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 70}
base_maestra_comunas_filtradas.geojson,1123,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 1123}
campamentos.geojson,3,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 3}
centros_sernam_filtrados.geojson,5,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 5}
circuito_turistico_filtrado.geojson,4,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'MultiLineString': 4}
comunas_buffer.geojson,4,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Polygon': 4}
cuarteles_filtrados.geojson,16,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 16}
cuerpos_de_bomberos_filtrados.geojson,2,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 2}
delincuencia_comunas_anual.geojson,4,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 4}
establecimientos_educacion_escolar.geojson,458,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 458}
establecimientos_educacion_superior.geojson,363,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 363}
establecimientos_parvularia_filtrados.geojson,456,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 456}
estaciones_calidad_aire_filtrada.geojson,1,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 1}
estaciones_carga_filtradas.geojson,40,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 40}
estaciones_metereológicas_filtradas.geojson,2,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 2}
municipios_filtrados.geojson,5,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 5}
ocio_filtrado.geojson,606,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,"{'Polygon': 605, 'MultiPolygon': 1}"
poblacion2_filtrada.geojson,1165,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,"{'Polygon': 1133, 'MultiPolygon': 32}"
poblacion_filtrada.geojson,2000,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,"{'Polygon': 1963, 'MultiPolygon': 37}"
puntos_de_interes_filtrados.geojson,192,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 192}
puntos_medicos_farmacias_hospitales_filtrados.geojson,82,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 82}
redes_de_clinicas_filtradas.geojson,14,EPSG:3857,3857,True,0,0,En Web Mercator - necesita UTM,{'Point': 14}
servicios_filtrados.geojson,773,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 773}
tiendas_filtradas.geojson,497,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 497}
unidades_operativas_pdi_filtradas.geojson,22,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 22}
unidades_vecinales_filtradas.geojson,68,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,"{'Polygon': 67, 'MultiPolygon': 1}"
vertedores_ilegales_filtrados.geojson,2,EPSG:4326,4326,True,0,0,En WGS84 (grados) - necesita UTM para métricas,{'Point': 2}
