archivo,filas,crs_correcto,geometrias_validas,geometrias_invalidas,duplicados_geometria,outliers_espaciales
Lineas_de_metro_de_Santiago.geojson,12,True,12,0,0,0
areas_verdes_filtradas.geojson,2162,True,2162,0,1,0
atracciones_turisticas_filtradas.geojson,70,True,70,0,0,4
base_maestra_comunas_filtradas.geojson,1123,True,1123,0,458,42
campamentos.geojson,3,True,3,0,0,0
centros_sernam_filtrados.geojson,5,True,5,0,0,0
circuito_turistico_filtrado.geojson,4,True,4,0,0,0
comunas_buffer.geojson,4,True,4,0,0,0
cuarteles_filtrados.geojson,16,True,16,0,0,2
cuerpos_de_bomberos_filtrados.geojson,2,True,2,0,0,0
delincuencia_comunas_anual.geojson,4,True,4,0,0,0
establecimientos_educacion_escolar.geojson,458,True,458,0,2,0
establecimientos_educacion_superior.geojson,363,True,363,0,27,32
establecimientos_parvularia_filtrados.geojson,456,True,456,0,16,0
estaciones_calidad_aire_filtrada.geojson,1,True,1,0,0,0
estaciones_carga_filtradas.geojson,40,True,40,0,0,9
estaciones_metereológicas_filtradas.geojson,2,True,2,0,0,0
municipios_filtrados.geojson,5,True,5,0,0,0
ocio_filtrado.geojson,606,True,606,0,1,0
poblacion2_filtrada.geojson,1165,True,1165,0,0,0
poblacion_filtrada.geojson,2000,True,2000,0,0,31
puntos_de_interes_filtrados.geojson,192,True,192,0,0,35
puntos_medicos_farmacias_hospitales_filtrados.geojson,82,True,82,0,0,13
redes_de_clinicas_filtradas.geojson,14,True,14,0,0,2
servicios_filtrados.geojson,773,True,773,0,0,116
tiendas_filtradas.geojson,497,True,497,0,0,80
unidades_operativas_pdi_filtradas.geojson,22,True,22,0,1,0
unidades_vecinales_filtradas.geojson,68,True,68,0,0,15
vertedores_ilegales_filtrados.geojson,2,True,2,0,0,0
