feature,importance_satisfaccion,importance_precio
superficie_util,0.26049484241022847,0.30667270540127906
idx_vida_urbana,0.16871273379293347,0.009527522813060015
idx_habitabilidad_global,0.14366825199368727,0.012736073505974848
acc_transporte,0.09856559089003192,0.013530121351928683
dist_transporte_metro_m,0.05366993260093941,0.03592972457466162
dist_transporte_carga_m,0.021534674980778865,0.01862471436868778
idx_calidad_vida,0.01751234733696908,0.016383691253043675
dist_salud_m,0.015922957464144717,0.01779394119393242
dist_seguridad_cuarteles_m,0.01578569761602311,0.04054620668954155
dens_comercio_600m_km2,0.015239586190749674,0.004075239215800317
dens_educacion_1000m_km2,0.014855333241754155,0.018991928265381
dormitorios,0.013777215272963904,0.07486186659191221
acc_comercial,0.013442576590122095,0.015806990810852767
banos,0.013152336795145395,0.028796999765294626
acc_seguridad,0.01133888592496419,0.11726058398985965
dist_educacion_superior_m,0.010550371690937798,0.04620233517499107
dist_salud_clinicas_m,0.010418739178558751,0.029468414561776155
dist_educacion_basica_m,0.010230286972845441,0.01087428354405773
acc_entorno,0.009910428437868542,0.015120375882858757
estacionamientos,0.008897843109238277,0.013261153006239828
dist_seguridad_pdi_m,0.008792412186698345,0.027189709402877023
acc_salud,0.008712865776476958,0.014521287129354228
acc_educacion,0.007877294556710171,0.013864716891539803
dens_comercio_1000m_km2,0.007656759868480319,0.005687913381778699
dist_educacion_parvularia_m,0.007629687948026212,0.016131146357402416
dist_seguridad_bomberos_m,0.0072202224162302014,0.05165652327679463
dens_salud_1000m_km2,0.006100187830565507,0.0025818165099426634
dens_educacion_600m_km2,0.005919612893093091,0.010443903058197725
dens_transporte_1000m_km2,0.003478098787905588,0.0024500292492055957
dens_educacion_300m_km2,0.0030256246419485162,0.0038926734044842973
dens_comercio_300m_km2,0.0020675246364866,0.0021674090520419002
dens_salud_600m_km2,0.001745854117247941,0.0006688480593372203
dens_seguridad_600m_km2,0.0007149008488993761,0.0006406156693332416
dens_seguridad_1000m_km2,0.0006066294770681564,0.0012369613800556594
dens_seguridad_300m_km2,0.0004859439180515994,0.00025377576847048134
dens_transporte_600m_km2,0.00023024088606315546,0.00014779944805051867
dens_salud_300m_km2,5.550671916391275e-05,0.0
dens_transporte_300m_km2,0.0,0.0
