Unnamed: 0,id,link,titulo,precio,direction,superficie_total,superficie_util,superficie_terraza,ambientes,dormitorios,banos,estacionamientos,cant_max_habitantes,bodegas,gastos_comunes,orientacion,tipo_departamento,cantidad_pisos,departamentos_piso,numero_piso_unidad,codigo,fecha,published_time,latitude,longitude,comuna_left,published,divisa,region,grid_id,x_utm,y_utm,comuna_right,zona_utm,crs_epsg,fecha_creacion,procesado,dist_educacion_basica_m,dist_educacion_superior_m,dist_educacion_parvularia_m,dist_salud_m,dist_salud_clinicas_m,dist_transporte_metro_m,dist_transporte_carga_m,dist_seguridad_pdi_m,dist_seguridad_cuarteles_m,dist_seguridad_bomberos_m,dist_areas_verdes_m,dist_ocio_m,dist_turismo_m,dist_servicios_publicos_m,dist_servicios_sernam_m,dist_comercio_m,dist_puntos_interes_m,dist_educacion_min_m,dist_salud_min_m,dist_seguridad_min_m,dist_transporte_min_m,distancias_calculadas,fecha_distancias,dens_educacion_300m_km2,dens_educacion_600m_km2,dens_educacion_1000m_km2,dens_salud_300m_km2,dens_salud_600m_km2,dens_salud_1000m_km2,dens_comercio_300m_km2,dens_comercio_600m_km2,dens_comercio_1000m_km2,dens_seguridad_300m_km2,dens_seguridad_600m_km2,dens_seguridad_1000m_km2,dens_transporte_300m_km2,dens_transporte_600m_km2,dens_transporte_1000m_km2,dens_recreacion_300m_km2,dens_recreacion_600m_km2,dens_recreacion_1000m_km2,dens_total_300m_km2,dens_total_600m_km2,dens_total_1000m_km2,diversidad_servicios_300m,diversidad_servicios_600m,diversidad_servicios_1000m,dens_norm_educacion_300m_km2,dens_norm_educacion_600m_km2,dens_norm_educacion_1000m_km2,dens_norm_salud_300m_km2,dens_norm_salud_600m_km2,dens_norm_salud_1000m_km2,dens_norm_comercio_300m_km2,dens_norm_comercio_600m_km2,dens_norm_comercio_1000m_km2,dens_norm_seguridad_300m_km2,dens_norm_seguridad_600m_km2,dens_norm_seguridad_1000m_km2,dens_norm_transporte_300m_km2,dens_norm_transporte_600m_km2,dens_norm_transporte_1000m_km2,dens_norm_recreacion_300m_km2,dens_norm_recreacion_600m_km2,dens_norm_recreacion_1000m_km2,dens_norm_total_300m_km2,dens_norm_total_600m_km2,dens_norm_total_1000m_km2,div_norm_servicios_300m,div_norm_servicios_600m,div_norm_servicios_1000m,densidades_calculadas,fecha_densidades,dist_to_grid,acc_educacion,acc_salud,acc_transporte,acc_entorno,acc_seguridad,acc_comercial,idx_vida_urbana,idx_calidad_vida,idx_habitabilidad_global,precio_m2,score_valor,score_espacio,score_habitabilidad,score_accesibilidad,satisfaccion_compuesta
0,1,https://www.portalinmobiliario.com/mlc-1321634082-edificio-av-departamental-vista-norte-piso-16-_jm#position=1&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio av. departamental- vista norte piso 16,400000.0,"av. departamental 900 - 1200, lo vial, san miguel",34.0,34.0,0.0,3,2,1,1.0,3,,40000.0,,,23,13,16,459500,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.504288,-70.650536,San miguel,2023-02-10 17:56:38.667783,pesos,Rm (metropolitana),GRID_0008_0048,346599.8451130898,6294091.179614866,Santiago,19S,32719.0,2025-10-10 11:53:43,False,340.5831392684686,256.96640423631186,340.5831392684686,682.0866949310546,2030.9521992800967,525.2309186995917,1042.7660790477046,1373.7885907211032,1883.846427650592,5040.183593953262,95.56044409684333,98.61461027654671,1238.5921090972738,928.262404530494,5424.16016614869,1108.9320575170264,861.0797987916504,256.96640423631186,682.0866949310546,1373.7885907211032,525.2309186995917,True,2025-10-10 11:54:16,3.5424643185361293,6.199312557434548,5.101148618689106,0.0,0.0,0.3188217886680691,0.0,0.0,1.9129307320084148,0.0,0.0,0.0,0.0,0.0,0.0,35.42464318536129,22.14040199083767,18.81048553141608,38.96710750389742,28.33971454827222,26.143386670781663,2.0,2.0,4.0,0.1851851851851852,0.4895104895104895,0.7111111111111111,0.0,0.0,0.2564102564102564,0.0,0.0,0.1941747572815534,0.0,0.0,0.0,0.0,0.0,0.0,3.0303030303030303,2.6881720430107525,3.2777777777777777,1.0091743119266054,1.28,1.4360770577933448,3.333333333333333,3.333333333333333,6.666666666666666,True,2025-10-10 11:55:26,2506.5294479046297,5.887444510720621,5.485387455417282,5.899076325201634,6.0373492946672975,2.7029073822693523,1.042847846621263,5.730111232943589,3.538666286534104,4.853533254379795,11764.70588235294,0.4054054054054057,0.6779661016949152,4.853533254379795,5.757302763779845,2.8647353710305126
1,2,https://www.portalinmobiliario.com/mlc-1321564083-edificio-garcia-reyes-vista-poniente-piso-5-_jm#position=2&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio garcía reyes- vista poniente piso 5,410000.0,"garcía reyes 1 - 300, barrio yungay, santiago",5438.0,52.0,2.0,3,2,1,1.0,3,1.0,140000.0,,,5,24,5,329093,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.444885,-70.670891,Santiago,2023-02-10 17:56:38.667831,pesos,Rm (metropolitana),GRID_0028_0038,344599.8451130898,6298091.179614866,Estación Central,19S,32719.0,2025-10-10 11:53:43,False,240.7582545239395,382.4493313827414,114.18278695588118,470.23049894210544,2599.199585103027,1212.303182435693,171.3973229553469,544.0921364679656,1080.5140376738805,2180.712527439232,260.4884824451703,363.93976327344143,326.2966804758978,1936.4674590030145,2166.945705095302,117.26070356717575,213.6409250579656,114.18278695588118,470.23049894210544,544.0921364679656,171.3973229553469,True,2025-10-10 11:54:16,21.25478591121677,29.225330627905727,51.33030797555913,0.0,1.7712321592670135,1.2752871546722766,14.169857274144515,17.712321592670136,18.49166374274801,0.0,0.8856160796335069,0.3188217886680691,3.5424643185361293,0.8856160796335069,0.9564653660042074,14.169857274144515,28.33971454827222,22.63634699543291,53.136964778041936,78.81983108738211,95.0088930230846,4.0,6.0,6.0,1.1111111111111112,2.307692307692308,7.155555555555555,0.0,0.6896551724137931,1.0256410256410258,0.3846153846153846,1.0638297872340423,1.8770226537216828,0.0,1.4285714285714284,1.1111111111111112,3.333333333333334,1.666666666666667,3.0,1.2121212121212124,3.440860215053763,3.9444444444444446,1.376146788990826,3.56,5.218914185639228,6.666666666666666,10.0,10.0,True,2025-10-10 11:55:26,105.43254501366135,6.786057578729865,6.210487810160728,7.647744041511945,4.303618193834755,5.1386233169213265,4.325602662827957,6.814335610136835,4.560715071458687,5.912887394665576,7884.615384615385,8.141592920353983,1.059322033898305,5.912887394665576,6.881429810134179,5.8044944633123645
2,3,https://www.portalinmobiliario.com/mlc-1321897983-edificio-arqueria-vista-norponiente-piso-3-_jm#position=3&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio arquería- vista norponiente piso 3,1950000.0,"arquería 1200 - 1500, rotonda atenas, las condes",190.0,140.0,50.0,5,4,2,2.0,7,1.0,400000.0,,,7,4,3,458633,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.420437,-70.563446,Las condes,2023-02-10 17:56:38.667839,pesos,Rm (metropolitana),GRID_0040_0088,354599.8451130898,6300491.179614866,La Reina,19S,32719.0,2025-10-10 11:53:43,False,181.2490886552074,3600.363511981212,219.71784756897264,1786.592958183887,3953.287044749249,1733.3158532251744,1180.586076007208,2610.663833126814,2578.7306313444083,5274.594569762403,5.672304288792518,95.39985194822906,5078.273912897022,4250.768818800711,4707.156528513685,1004.185907252921,1245.094302957429,181.2490886552074,1786.592958183887,2578.7306313444083,1180.586076007208,True,2025-10-10 11:54:16,10.627392955608387,4.428080398167534,3.8258614640168296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25478591121677,15.055473353769615,10.52111902604628,31.882178866825164,19.48355375193715,14.34698049006311,2.0,2.0,2.0,0.5555555555555556,0.3496503496503497,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8181818181818183,1.827956989247312,1.8333333333333333,0.8256880733944955,0.88,0.7880910683012259,3.333333333333333,3.333333333333333,3.333333333333333,True,2025-10-10 11:55:26,519.5846358566192,5.92236123347389,2.8312830975709296,3.2776556959711685,5.880729387646947,0.0,1.3221709139922107,3.8925183178618896,2.748943029256442,3.4350882024197107,13928.57142857143,1.839080459770115,1.440677966101695,3.4350882024197107,4.010433342338663,2.6724728603450196
3,4,https://www.portalinmobiliario.com/mlc-1318618638-edificio-borgetto-vista-norponiente-piso-1-_jm#position=4&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio borgetto- vista norponiente piso 1,305500.0,"radal 1200 - 1500, blanqueado, quinta normal",389.0,32.0,62.0,2,1,1,,2,,53000.0,,,20,17,1,217301,2023-02-11 00:00:00.000000,publicado hace 4 días por assetplan chile,-33.43784,-70.7033,Quinta normal,2023-02-08 17:56:38.667845,pesos,Rm (metropolitana),GRID_0030_0025,341999.8451130898,6298491.179614866,Estación Central,19S,32719.0,2025-10-10 11:53:43,False,77.27795176751718,1341.727923028409,137.51216488958468,1796.5584069342324,1662.776135152289,1757.991270350771,1964.4428222968584,2425.683084444636,1299.08951876358,4562.0592095192815,103.28810223610262,257.6184970229726,1502.658012522934,1688.819712812778,1536.7686854758458,1679.538745927899,1065.4177590982506,77.27795176751718,1662.776135152289,1299.08951876358,1757.991270350771,True,2025-10-10 11:54:16,17.712321592680645,9.741776875968576,7.33290113936559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.339714548289034,11.513009035235587,7.0140793506975205,46.05203614096968,21.254785911204166,14.34698049006311,2.0,2.0,2.0,0.9259259259259258,0.7692307692307693,1.022222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4242424242424248,1.3978494623655913,1.222222222222222,1.1926605504587156,0.96,0.7880910683012259,3.333333333333333,3.333333333333333,3.333333333333333,True,2025-10-10 11:55:26,508.8289742153584,6.2149587655712875,3.120189017977992,0.9680349185969161,5.695680700940699,2.882185154967408,0.0,3.402973712441658,3.1429278268665017,3.2989553582115954,9546.875,1.1627906976744184,1.3135593220338984,3.2989553582115954,3.4343942340487317,2.28811452798233
4,5,https://www.portalinmobiliario.com/mlc-1321526297-edificio-carmen-vista-sur-piso-2-_jm#position=5&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio carmen- vista sur piso 2,365000.0,"carmen 1 - 300, santa isabel, santiago",38.0,33.0,5.0,2,1,1,,2,1.0,45000.0,,,9,22,2,458745,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.444862,-70.64299,Santiago,2023-02-10 17:56:38.667851,pesos,Rm (metropolitana),GRID_0028_0051,347199.8451130898,6298091.179614866,Santiago,19S,32719.0,2025-10-10 11:53:43,False,126.75793945132472,19.440981406744147,231.25775814000647,319.1963153944709,68.28580488337268,1743.4969667789885,131.84292732307316,472.0658445338324,1142.6749335429738,1243.796492756863,49.56346051795925,48.47624452080748,146.66652641076632,1139.0952904363007,1684.805437630159,102.529530007341,247.984960928038,19.440981406744147,68.28580488337268,472.0658445338324,131.84292732307316,True,2025-10-10 11:54:16,46.05203614096968,24.797250229738196,22.63634699543291,3.5424643185361293,6.199312557434548,9.245831871374005,21.25478591121677,46.05203614094236,74.2854767596601,0.0,0.8856160796335069,0.3188217886680691,3.5424643185361293,0.8856160796335069,1.5941089433403457,21.25478591121677,29.225330627905727,28.375139191458157,95.64653660047549,108.04516171528785,136.4557255499336,5.0,6.0,6.0,2.4074074074074074,1.958041958041958,3.1555555555555554,0.7692307692307693,2.413793103448276,7.435897435897436,0.576923076923077,2.7659574468085104,7.540453074433656,0.0,1.4285714285714284,1.1111111111111112,3.333333333333334,1.666666666666667,5.0,1.8181818181818183,3.548387096774193,4.944444444444445,2.477064220183486,4.88,7.495621716287215,8.333333333333334,10.0,10.0,True,2025-10-10 11:55:26,128.3045056696881,6.75988760552869,9.071435686041362,7.80596162404104,5.661273606501113,5.311486417563247,5.3861623880655305,7.998329043287464,5.473804084289078,6.988519059688111,11060.60606060606,1.4380530973451322,1.3559322033898304,6.988519059688111,7.879094971870363,4.374977082162012
5,6,https://www.portalinmobiliario.com/mlc-1321795211-edificio-lazo-vista-poniente-piso-14-_jm#position=6&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio lazo- vista poniente piso 14,350000.0,"lazo 1200 - 1500, lo vial, san miguel",33.0,30.0,3.0,2,1,1,,2,1.0,45000.0,,,14,14,14,455018,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.49865,-70.661507,San miguel,2023-02-10 17:56:38.667857,pesos,Rm (metropolitana),GRID_0007_0042,345399.8451130898,6293891.179614866,Santiago,19S,32719.0,2025-10-10 11:53:43,False,158.03142271681523,1392.4384952967662,158.03072007673887,1660.7975173258997,2865.1596462408493,695.8832255421054,990.2569778366556,296.8121630388142,994.3069059056082,5357.246171625395,36.0351582236087,149.01381390772366,1621.737686776491,2138.7712183333097,4481.302808015851,684.0412295106839,1127.1406844242117,158.03072007673887,1660.7975173258997,296.8121630388142,695.8832255421054,True,2025-10-10 11:54:16,7.084928637072259,4.428080398167534,5.101148618689106,0.0,0.0,0.0,0.0,0.0,1.5941089433403457,3.5424643185361293,0.8856160796335069,0.6376435773361383,0.0,0.0,0.3188217886680691,17.712321592680645,20.36916983157066,16.897554799407665,28.33971454828903,25.6828663093717,24.549277727441325,3.0,3.0,5.0,0.3703703703703704,0.3496503496503497,0.7111111111111111,0.0,0.0,0.0,0.0,0.0,0.1618122977346278,2.5,1.4285714285714284,2.2222222222222223,0.0,0.0,1.0,1.5151515151515151,2.4731182795698925,2.9444444444444446,0.7339449541284403,1.16,1.3485113835376534,5.0,5.0,8.333333333333334,True,2025-10-10 11:55:26,1715.7837002305876,5.950223275768053,3.124805792906234,5.216467097831579,5.5773999664577145,6.176539697595734,2.175890054638176,4.599929429242383,4.736688912253259,4.6546332224467335,11666.666666666666,0.5743243243243246,1.2288135593220337,4.6546332224467335,4.763832055501955,2.7672163869961155
6,7,https://www.portalinmobiliario.com/mlc-1321520438-edificio-chacabuco-vista-poniente-piso-15-_jm#position=7&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio chacabuco- vista poniente piso 15,290000.0,"chacabuco 900 - 1200, parque los reyes, santiago",35.0,33.0,2.0,2,1,1,,2,,60000.0,,,26,15,15,456475,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.432533,-70.679649,Santiago,2023-02-10 17:56:38.667862,pesos,Rm (metropolitana),GRID_0035_0034,343799.8451130898,6299491.179614866,Santiago,19S,32719.0,2025-10-10 11:53:43,False,395.35724881802446,586.6505197003794,368.88167951836186,1000.7832010101972,3205.527502545257,1936.7587086172248,298.6646313954553,1239.7612660129548,1390.8101802626034,2740.8264935989173,599.609831889084,533.6328713853025,839.8601305055049,2549.843704894806,755.3516727390853,643.3149139213192,342.4962448139042,368.88167951836186,1000.7832010101972,1239.7612660129548,298.6646313954553,True,2025-10-10 11:54:16,0.0,8.856160796335068,12.115227969386629,0.0,0.0,0.0,0.0,0.8856160796335069,2.231752520676484,0.0,0.0,0.0,3.5424643185361293,1.7712321592670135,1.2752871546722766,0.0,1.7712321592670135,5.101148618689106,3.5424643185361293,13.284241194502602,20.723416263424493,1.0,4.0,4.0,0.0,0.6993006993006994,1.6888888888888889,0.0,0.0,0.0,0.0,0.0531914893617021,0.226537216828479,0.0,0.0,0.0,3.333333333333334,3.333333333333334,4.0,0.0,0.2150537634408602,0.888888888888889,0.091743119266055,0.6,1.138353765323993,1.6666666666666663,6.666666666666666,6.666666666666666,True,2025-10-10 11:55:26,56.17518746496502,5.837062264298246,4.664839197642873,7.472008141084847,2.00195084055458,3.024572961568908,2.3164084564935035,5.858656800672077,2.4030747616405557,4.476423985059468,8787.878787878788,6.20575221238938,1.3559322033898304,4.476423985059468,5.991303201008655,4.674099940114352
7,8,https://www.portalinmobiliario.com/mlc-1321795091-edificio-la-virgen-vista-norte-piso-4-_jm#position=8&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio la virgen- vista norte piso 4,529000.0,"la virgen 1 - 300, cerro blanco, recoleta",5539.0,50.0,443.0,3,2,2,1.0,4,1.0,75000.0,,,14,7,4,447068,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.42498,-70.639374,Recoleta,2023-02-10 17:56:38.667867,pesos,Rm (metropolitana),GRID_0038_0051,347199.8451130898,6300091.179614866,Santiago,19S,32719.0,2025-10-10 11:53:43,False,138.8463911701031,655.7975244853145,138.8463911701031,1210.7424649761315,256.96598273889384,596.9777285532448,1689.5062006796416,1163.583777657632,684.3478243321765,1178.5703945289288,243.01423895909736,438.829857181072,828.4263189030709,1199.1961568690729,1085.550838114313,335.82362398521855,828.4263189030709,138.8463911701031,256.96598273889384,684.3478243321765,596.9777285532448,True,2025-10-10 11:54:16,14.169857274144515,6.199312557434548,5.738792196025244,3.5424643185361293,0.8856160796335069,0.3188217886680691,0.0,2.6568482389005204,2.550574309344553,0.0,0.0,0.6376435773361383,0.0,0.0,0.0,3.5424643185361293,3.5424643185340274,13.071693335390837,21.25478591121677,13.284241194502602,22.31752520676484,3.0,4.0,5.0,0.7407407407407408,0.4895104895104895,0.8,0.7692307692307693,0.3448275862068966,0.2564102564102564,0.0,0.1595744680851063,0.2588996763754045,0.0,0.0,2.2222222222222223,0.0,0.0,0.0,0.3030303030303031,0.4301075268817204,2.277777777777778,0.5504587155963303,0.6,1.2259194395796849,5.0,6.666666666666666,8.333333333333334,True,2025-10-10 11:55:26,493.0062457445911,6.0291885264000715,6.477335783865658,5.612089085787021,3.9364439567196645,5.2464541104916655,3.2002150168904815,6.083317597202391,4.1085783209025095,5.293421886682438,10580.0,3.4782608695652173,1.0169491525423728,5.293421886682438,6.0395377986842504,4.042802217119622
8,9,https://www.portalinmobiliario.com/mlc-1321564366-edificio-novena-avenida-vista-nororiente-piso-13-_jm#position=9&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio novena avenida- vista nororiente piso 13,500000.0,"novena avenida 1200 - 1500, ciudad del niño, san miguel",52.0,50.0,2.0,3,2,2,1.0,4,1.0,80000.0,,,16,12,13,450430,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,,,San miguel,2023-02-10 17:56:38.667872,pesos,Rm (metropolitana),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,3.0067567567567566,1.0169491525423728,4.599234792180255,,
9,10,https://www.portalinmobiliario.com/mlc-1321904096-edificio-lago-pirihueico-vista-poniente-piso-25-_jm#position=10&search_layout=stack&type=item&tracking_id=b0436e9c-8b33-44a7-a698-9c110febfa9a,edificio lago pirihueico- vista poniente piso 25,460000.0,"lago pirihueico 6300 - 6600, plaza vespucio, la florida",54.0,47.0,7.0,3,2,2,1.0,4,1.0,65000.0,,,26,10,25,458596,2023-02-11 00:00:00.000000,publicado hace 2 días por assetplan chile,-33.513954,-70.59256,La florida,2023-02-10 17:56:38.667877,pesos,Rm (metropolitana),GRID_0009_0077,352399.8451130898,6294291.179614866,Ñuñoa,19S,32719.0,2025-10-10 11:53:43,False,20.61216114956738,1516.0042179247723,192.3091025361734,3474.878394041922,4058.1487248203416,1539.699632346073,3947.697239040306,1393.332695927772,2589.738624338449,2254.967439552118,332.0727255104874,771.6104978415232,5146.604782853847,2973.0757838929662,1878.169679080511,2678.5810414800244,3503.838022307671,20.61216114956738,3474.878394041922,1393.332695927772,1539.699632346073,True,2025-10-10 11:54:16,10.627392955608387,6.199312557434548,5.101148618689106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.284241194502602,16.578733010739594,10.627392955608387,19.48355375193715,21.6798816294287,1.0,2.0,2.0,0.5555555555555556,0.4895104895104895,0.7111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6129032258064515,2.8888888888888884,0.2752293577981651,0.88,1.190893169877408,1.6666666666666663,3.333333333333333,3.333333333333333,True,2025-10-10 11:55:26,3705.540831180964,6.171069602424715,0.0,1.841201470615708,3.339636372447563,2.6560015297733472,0.0,2.403681321912127,2.1326550079110294,2.295270796311688,9787.234042553191,4.141414141414142,0.9533898305084746,2.295270796311688,2.6707570243468077,2.6558348522888053
