feature,importance
precio_m2_uf,1351
superficie_util,1017
precio_uf,616
dormitorios,445
dist_areas_verdes_m,367
dist_seguridad_min_m,293
longitude,284
latitude,283
dist_transporte_min_m,279
dist_ocio_m,233
dist_seguridad_pdi_m,207
dist_educacion_superior_m,198
dist_comercio_m,194
dist_educacion_parvularia_m,191
dist_servicios_sernam_m,185
dist_salud_min_m,179
dist_educacion_min_m,173
dist_salud_m,168
dist_seguridad_cuarteles_m,167
dist_transporte_metro_m,162
total_habitaciones,152
dist_educacion_basica_m,144
dist_salud_clinicas_m,142
dist_seguridad_bomberos_m,136
dist_turismo_m,136
es_departamento,128
dist_servicios_publicos_m,127
dist_transporte_carga_m,122
dist_puntos_interes_m,121
dens_educacion_1000m_km2,107
dens_comercio_600m_km2,106
banos,102
dens_educacion_600m_km2,99
es_comuna_premium,95
dens_comercio_1000m_km2,88
dens_educacion_300m_km2,49
dens_comercio_300m_km2,43
dens_salud_1000m_km2,40
dens_salud_600m_km2,27
es_casa,26
dens_salud_300m_km2,5
es_comuna_economica,1
