fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url;latitud;longitud;direccion_geocoded
2025-11-29 18:02:18;Estación Central;casa;Casa En Venta De 4 Dorm. En Estación Central;4800;CLF;4 dormitorios;3 baños;112 m² útiles;4 dormitorios | 3 baños | 112 m² útiles;Laguna Del Inca / Cuadro Verde, Metro Pajaritos, Estación Central;;-33.463104365368;-70.724034326008;Laguna Del Inca / Cuadro Verde, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Casa Av Las Rejas C/ 5 De Abril, 225 Mts, Precio Rebajado;130000000;CLP;4 dormitorios;1 baño;125 m² útiles;4 dormitorios | 1 baño | 125 m² útiles;Las Gardenias 700, Estación Central, Metro Las Rejas, Estación Central;;-33.462645643738;-70.704301137107;Las Gardenias 700, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Casa En Tradicional Barrio. Metro Las Rejas. Lindo Patio. ;125000000;CLP;3 dormitorios;1 baño;97 m² útiles;3 dormitorios | 1 baño | 97 m² útiles;Los Alerces 1 - 300, Santiago, Estación Central, Metro Las Rejas, Estación Central;;-33.458037084002;-70.707670092429;Los Alerces 1 - 300, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Se Vende Casa Aislada En Estación Central Stag.;8116;CLF;4 dormitorios;2 baños;83 m² útiles;4 dormitorios | 2 baños | 83 m² útiles;Vista Hermosa, Estación Central, Metro Pajaritos, Estación Central;;-33.4629791;-70.7190051;Vista Hermosa, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Amplia Casa De Dos Pisos Remodelada, Villa Moderna;140000000;CLP;4 dormitorios;1 baño;110 m² útiles;4 dormitorios | 1 baño | 110 m² útiles;Padre Jaime Larraín Hurtado 600 - 900, Santiago, Estación Central, Nogales - San Eugenio, Estación Central;;-33.468656344012;-70.698491540167;Padre Jaime Larraín Hurtado 600 - 900, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Excelente Propiedad En Av. Gladys Marín;285000000;CLP;5 dormitorios;3 baños;126 m² útiles;5 dormitorios | 3 baños | 126 m² útiles;Avenida Gladys Marín Millie 6647, Santiago, Estación Central, Chile, Metro Pajaritos, Estación Central;;-33.458617911353;-70.713213175;Avenida Gladys Marín Millie 6647, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Excelente Casa En Villa España;3150;CLF;3 dormitorios;1 baño;90 m² útiles;3 dormitorios | 1 baño | 90 m² útiles;Pje. Miguel De Cervantes 576, Santiago, Estación Central, Villa Francia, Estación Central;;-33.466959280645;-70.706520392888;Pje. Miguel De Cervantes 576, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Oportunidad Venta De Casa Cercana A Metro Padre Hurtado;1920;CLF;4 dormitorios;1 baño;80 m² útiles;4 dormitorios | 1 baño | 80 m² útiles;Padre Vicente Irarrázabal 1018, Estación Central, Región Metropolitana, Chile, Nogales - San Eugenio, Estación Central;;-33.46305201457;-70.692928382518;Padre Vicente Irarrázabal 1018, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Casa Sector  Las Rejas 130 Millones;130000000;CLP;4 dormitorios;1 baño;110 m² útiles;4 dormitorios | 1 baño | 110 m² útiles;Las Gardenias 882, Santiago, Estación Central, Metro Las Rejas, Estación Central;;-33.463938694198;-70.704227187999;Las Gardenias 882, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Casa En Venta De 4 Dorm. En Estación Central;3730;CLF;4 dormitorios;2 baños;89 m² útiles;4 dormitorios | 2 baños | 89 m² útiles;AVENIDA PAJARITOS//AVENIDA LAS PARECELAS//METRO LAS REJAS, Metro Pajaritos, Estación Central;;-33.460039978852;-70.714338943208;AVENIDA PAJARITOS//AVENIDA LAS PARECELAS// LAS REJAS, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Comoda Y En Excelente Estado, Impecable, Llegar Y Habitar;128000000;CLP;4 dormitorios;1 baño;103 m² útiles;4 dormitorios | 1 baño | 103 m² útiles;El Nadi 587, Santiago, Estación Central, Chile, Villa Francia, Estación Central;;-33.469341794713;-70.709518180559;El Nadi 587, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Casa En Venta 4d/3b - Manuel Thompson - Placilla;9900;CLF;4 dormitorios;3 baños;206 m² útiles;4 dormitorios | 3 baños | 206 m² útiles;Manuel Thompson 4311, 9160058 Santiago, Estación Central, Región Metropolitana, Chile, San Alberto Hurtado, Estación Central;;-33.456345286496;-70.694363506674;Manuel Thompson 4311, Estación Central, Santiago, Chile
2025-11-29 18:02:18;Estación Central;casa;Rebajada, Casa Antigua Pareada Iquique 3400 Estación Central;190000000;CLP;9 dormitorios;4 baños;252 m² útiles;9 dormitorios | 4 baños | 252 m² útiles;Iquique 3400, Estación Central, Nogales - San Eugenio, Estación Central;;-33.464169585578;-70.681461049634;Iquique 3400, Estación Central, Santiago, Chile
