fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url;latitud;longitud;direccion_geocoded
2025-11-29 17:37:02;La Reina;casa; Absalon Los Troncos;17349;CLF;3 dormitorios;3 baños;139 m² útiles;3 dormitorios | 3 baños | 139 m² útiles;Julia Bernstein 1860, La Reina, La Reina Alta, La Reina;;-33.4402765;-70.5210835;Julia Bernstein 1860, La Reina, Santiago, Chile
2025-11-29 17:37:02;La Reina;casa;Condominio Altos De Casanova;21000;CLF;5 dormitorios;4 baños;246 m² útiles;5 dormitorios | 4 baños | 246 m² útiles;Alvaro Casanova 0509, La Reina, La Reina Alta, La Reina;;-33.4509256;-70.520225;Alvaro Casanova 0509, La Reina, Santiago, Chile
2025-11-29 17:37:02;La Reina;casa;Condominio Reina Bernstein;34425;CLF;5 dormitorios;5 baños;323 m² útiles;5 dormitorios | 5 baños | 323 m² útiles;Julia Bernstein 538, La Reina Alta, La Reina;;-33.4540796;-70.5258252;Julia Bernstein 538, La Reina, Santiago, Chile
2025-11-29 17:37:02;La Reina;casa;Condominio Vista Monte;23990;CLF;4 dormitorios;4 baños;240 m² útiles;4 dormitorios | 4 baños | 240 m² útiles;Julia Bernstein 1107, Santiago, La Reina, La Reina Alta, La Reina;;-33.4395249;-70.5207307;Julia Bernstein 1107, La Reina, Santiago, Chile
2025-11-29 17:37:02;La Reina;casa;Townhouse Los Prunos;11900;CLF;3 dormitorios;4 baños;127 - 128 m² útiles;3 dormitorios | 4 baños | 127 - 128 m² útiles;Los Prunos 7177, Pepe Vila, La Reina;;-33.4547615;-70.5532555;Los Prunos 7177, La Reina, Santiago, Chile
2025-11-29 17:37:02;La Reina;casa;Condominio Olivos;18990;CLF;4 dormitorios;4 baños;139 m² útiles;4 dormitorios | 4 baños | 139 m² útiles;Príncipe De Gales 7955, Carlos Ossandón, La Reina;;-33.4386705;-70.5601061;Príncipe De Gales 7955, La Reina, Santiago, Chile
2025-11-29 17:37:02;La Reina;casa;Los Corcolenes 6936;9990;CLF;3 dormitorios;3 baños;98 m² útiles;3 dormitorios | 3 baños | 98 m² útiles;Los Corcolenes 6936, La Reina, Pepe Vila, La Reina;;-33.4527989;-70.5559574;Los Corcolenes 6936, La Reina, Santiago, Chile
2025-11-29 17:37:02;La Reina;casa; Townhouse Lc 2254;13700;CLF;3 dormitorios;3 baños;115 - 123 m² útiles;3 dormitorios | 3 baños | 115 - 123 m² útiles;Las Carretas 2254, La Reina, Troncos Viejos, La Reina;;-33.4326373;-70.5786476;Las Carretas 2254, La Reina, Santiago, Chile
2025-11-29 17:37:02;La Reina;casa;Casa Wârm;14850;CLF;3 dormitorios;3 a 4 baños;139 m² útiles;3 dormitorios | 3 a 4 baños | 139 m² útiles;Vicente Pérez Rosales 1680, Carlos Ossandón, La Reina;;-33.4409003;-70.5527101;Vicente Pérez Rosales 1680, La Reina, Santiago, Chile
2025-11-29 17:37:02;La Reina;casa;La Reina Green;13500;CLF;3 dormitorios;3 baños;131 - 133 m² útiles;3 dormitorios | 3 baños | 131 - 133 m² útiles;Nocedal 6900 - 7200, Metro Príncipe De Gales - Country Club, La Reina;;-33.4374447;-70.5553924;Nocedal 6900 - 7200, La Reina, Santiago, Chile
