fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;latitud;longitud;direccion_geocoded
2025-11-29 18:08:24;Ñuñoa;casa;Seduce El Precio. 5 Dormitorios, Condominio Cerrado. ;11300;CLF;4 dormitorios;3 baños;200 m² útiles;4 dormitorios | 3 baños | 200 m² útiles;Luis Pereira 1200 - 1500, Ñuñoa, Parque Botánico, Ñuñoa;-33.44169305;-70.58662770000001;Luis Pereira 1200 - 1500, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Bella Casa Con Piso De Parquet Y Con Chimenea ;8950;CLF;3 dormitorios;3 baños;169 m² útiles;3 dormitorios | 3 baños | 169 m² útiles;Los Jazmines 600 - 900, Ñuñoa, Chile, Estadio Nacional, Ñuñoa;-33.458719269491525;-70.6177735559322;Los Jazmines 600 - 900, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa Remodelada En Venta De 3 Dorm. En Ñuñoa Villa Frei;7500;CLF;3 dormitorios;2 baños;150 m² útiles;3 dormitorios | 2 baños | 150 m² útiles;Eduardo Castillo Velasco/Ramón Cruz, Villa Frei, Ñuñoa;-33.4607877;-70.5804335;Eduardo Castillo Velasco/Ramón Cruz, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Impresionante Casa Estilo Francés;22000;CLF;6 dormitorios;4 baños;270 m² útiles;6 dormitorios | 4 baños | 270 m² útiles;Pedro De Valdivia, Estadio Nacional, Ñuñoa;-33.465776500000004;-70.60749102715357;Pedro De Valdivia, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 5 Dorm. En Ñuñoa;20000;CLF;5 dormitorios;3 baños;170 m² útiles;5 dormitorios | 3 baños | 170 m² útiles;Pucará / García Moreno, Parque Botánico, Ñuñoa;-33.4461278;-70.5775797;Pucará / García Moreno, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 4 Dorm. En Ñuñoa;17900;CLF;4 dormitorios;4 baños;200 m² útiles;4 dormitorios | 4 baños | 200 m² útiles;Pedro De Valdivia / Simón Bolivar, Ñuñoa;-33.4506156;-70.6051683;Pedro De Valdivia / Simón Bolivar, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta En Ñuñoa;11900;CLF;;4 baños;246 m² útiles;4 baños | 246 m² útiles;Los Aliaga, Dublé Almeyda, Américo Vespucio, Diagonal Oriente, Ñuñoa;-33.46071308670752;-70.57682827101695;Los Aliaga, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Oportunidad Única Casa En Venta De 4 Dorm. En Ñuñoa;14700;CLF;4 dormitorios;3 baños;152 m² útiles;4 dormitorios | 3 baños | 152 m² útiles;Simón Bolivar/ Estrella Solitaria, Plaza Egaña, Ñuñoa;-33.450598250813414;-70.58087445473215;Simón Bolivar/ Estrella Solitaria, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Excelente Casa Para Uso Comercial.;19900;CLF;8 dormitorios;4 baños;352 m² útiles;8 dormitorios | 4 baños | 352 m² útiles;Monseñor Eyzaguirre 485, Ñuñoa, Metro Monseñor Eyzaguirre, Ñuñoa;-33.457259754347824;-70.61423430652174;Monseñor Eyzaguirre 485, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa Comercial En Venta En Ñuñoa En Barrio Suárez Mujica;23500;CLF;6 dormitorios;7 baños;410 m² útiles;6 dormitorios | 7 baños | 410 m² útiles;Barrio Suarez Mujica, Estadio Nacional, Ñuñoa;-33.4574105;-70.6141823;Barrio Suarez Mujica, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 4 Dorm. En Ñuñoa;12500;CLF;4 dormitorios;3 baños;173 m² útiles;4 dormitorios | 3 baños | 173 m² útiles;Villaseca, Ñuñoa;-33.4541894;-70.604972;Villaseca, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 3 Dorm. En Ñuñoa;5388;CLF;3 dormitorios;2 baños;70 m² útiles;3 dormitorios | 2 baños | 70 m² útiles;Estadio Nacional, Estadio Nacional, Ñuñoa;-33.464382099999995;-70.61061809176775;Estadio Nacional, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa Para Remodelar O Demoler... Ideal Inversionista;8400;CLF;5 dormitorios;4 baños;164 m² útiles;5 dormitorios | 4 baños | 164 m² útiles;Natalio Stein 5228, Ñuñoa, Metro Simón Bolivar, Ñuñoa;-33.44374434222222;-70.57687593777777;Natalio Stein 5228, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Arayabroker Vende Preciosa Casa Muy Bien Ubicada En Ñuñoa;9480;CLF;5 dormitorios;4 baños;134 m² totales;5 dormitorios | 4 baños | 134 m² totales;Juan Moya Interior, Ñuñoa, Región Metropolitana De Santiago 7750000, Chile, Parque Juan XXIII, Ñuñoa;-33.4561755916041;-70.58663680681937;Juan Moya Interior, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 4 Dorm. En Ñuñoa;10800;CLF;4 dormitorios;3 baños;128 m² útiles;4 dormitorios | 3 baños | 128 m² útiles;Estrella Solitaria 5480, Plaza Egaña, Ñuñoa;-33.4504543;-70.57380582630225;Estrella Solitaria 5480, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Hermosa Casa En Venta 3d 1b - Metro Los Orientales - Ñuñoa -;286900000;CLP;3 dormitorios;1 baño;85 m² útiles;3 dormitorios | 1 baño | 85 m² útiles;Pedro Rico 5409, Ñuñoa, Santiago Metropolitan Region 7750000, Chile, Diagonal Oriente, Ñuñoa;-33.438891999999996;-70.57450147325328;Pedro Rico 5409, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;En Venta Casa De 2 Pisos Pasaje San Pedro Ñuñoa;4793;CLF;4 dormitorios;2 baños;110 m² útiles;4 dormitorios | 2 baños | 110 m² útiles;San Pedro 1871, Juan Gómez Millas, Ñuñoa;-33.472129928571434;-70.59599610000001;San Pedro 1871, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Oportunidad Proyecto Inmobiliario, Sitio 636 M2 Ñuñoa;20000;CLF;4 dormitorios;2 baños;126 m² útiles;4 dormitorios | 2 baños | 126 m² útiles;Emilia Tellez/Montenegro, Ñuñoa, Parque Botánico, Ñuñoa;-33.4407318;-70.5838054;Emilia Tellez/Montenegro, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 5 Dorm. En Ñuñoa;6200;CLF;5 dormitorios;2 baños;110 m² útiles;5 dormitorios | 2 baños | 110 m² útiles;Los Avellanos, Estadio Nacional, Ñuñoa;-33.47339029250795;-70.60816055284873;Los Avellanos, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Sitio Para Proyecto Inmobiliario, Sitio 636 M2 Ñuñoa;20000;CLF;4 dormitorios;2 baños;126 m² útiles;4 dormitorios | 2 baños | 126 m² útiles;Emilia Tellez/Montenegro, Ñuñoa, Parque Botánico, Ñuñoa;-33.4407318;-70.5838054;Emilia Tellez/Montenegro, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta En Estrella Solitaria Con Jardín Y Terraza;10800;CLF;4 dormitorios;3 baños;135 m² útiles;4 dormitorios | 3 baños | 135 m² útiles;Estrella Solitaria 5400 - 5700, Ñuñoa, Plaza Egaña, Ñuñoa;-33.450598250813414;-70.58087445473215;Estrella Solitaria 5400 - 5700, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Amplia Casa Y Terreno En Pleno Simón Bolívar, Nororiente ;21000;CLF;5 dormitorios;3 baños;206 m² útiles;5 dormitorios | 3 baños | 206 m² útiles;Av. Simón Bolívar 5278, 7790447 Ñuñoa, Región Metropolitana, Chile, Metro Simón Bolivar, Ñuñoa;-33.44788495;-70.57586154822519;Av. Simón Bolívar 5278, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Rebajada!! Casa Comercial Esquina, Metro Simón Bolívar;15400;CLF;4 dormitorios;3 baños;134 m² útiles;4 dormitorios | 3 baños | 134 m² útiles;Av. Ossa, Ñuñoa, Metro Simón Bolivar, Ñuñoa;-33.44370141140581;-70.57245476443998;Av. Ossa, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Oportunidad Inversión Casa Aislada Ñuñoa;8900;CLF;4 dormitorios;3 baños;116 m² útiles;4 dormitorios | 3 baños | 116 m² útiles;Los Jardines, 1 - 300E, Ñuñoa;-33.471869;-70.5842744;Los Jardines, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa Se Aceptan Ofertas -  Lyon/pedro Lautaro Ferrer;13100;CLF;3 dormitorios;3 baños;116 m² útiles;3 dormitorios | 3 baños | 116 m² útiles;SE ACEPTAN OFERTAS -  LYON/Pedro Lautaro Ferrer, Ñuñoa;-33.4451398;-70.6033594;SE ACEPTAN OFERTAS - LYON/Pedro Lautaro Ferrer, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 3 Dorm. En Ñuñoa;5950;CLF;3 dormitorios;2 baños;85 m² útiles;3 dormitorios | 2 baños | 85 m² útiles;Coventry Con La Verbena, Amapolas, Ñuñoa;-33.439362932534095;-70.57496635192314;Coventry Con La Verbena, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Nuevo Precio - Amapolas - Eliecer Parada/tobalaba;9500;CLF;4 dormitorios;3 baños;124 m² útiles;4 dormitorios | 3 baños | 124 m² útiles;VENTA - AMAPOLAS - ELIECER PARADA/TOBALABA, Amapolas, Ñuñoa;-33.4340827;-70.5821597;VENTA - AMAPOLAS - ELIECER PARADA/TOBALABA, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Oportunidad Inversión Clásica Casa Ñuñoína Aislada;10500;CLF;4 dormitorios;3 baños;183 m² útiles;4 dormitorios | 3 baños | 183 m² útiles;Los Jardines, 1 - 300C, Ñuñoa;-33.471869;-70.5842744;Los Jardines, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa Esquina Ñuñoa, 3d+3b+2e+patio+quincho+jardin;8990;CLF;3 dormitorios;3 baños;123 m² útiles;3 dormitorios | 3 baños | 123 m² útiles;Juan Moya Morales, 1 - 300, Parque Juan XXIII, Ñuñoa;-33.45940946610685;-70.58680418302939;Juan Moya Morales, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Luis Pereira Simon Bolivar, Echeñique;520000000;CLP;5 dormitorios;3 baños;170 m² útiles;5 dormitorios | 3 baños | 170 m² útiles;LUIS PEREIRA SIMON BOLIVAR, ECHEÑIQUE, Parque Botánico, Ñuñoa;-33.4506857;-70.6073479;LUIS PEREIRA SIMON BOLIVAR, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Suarez Mujica, Campos De Deporte;10390;CLF;5 dormitorios;3 baños;160 m² útiles;5 dormitorios | 3 baños | 160 m² útiles;SUAREZ MUJICA, CAMPOS DE DEPORTE, Estadio Nacional, Ñuñoa;-33.4574105;-70.6141823;SUAREZ MUJICA, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Linda Casa De 4d Y 3b, Muy Buen Estado, Barrio Tranquilo.;13250;CLF;4 dormitorios;3 baños;185 m² útiles;4 dormitorios | 3 baños | 185 m² útiles;Diego De Almagro, Diego De Almagro, Ñuñoa;-33.437405014150755;-70.58081502848258;Diego De Almagro, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 5 Dorm. En Ñuñoa;12700;CLF;5 dormitorios;4 baños;202 m² útiles;5 dormitorios | 4 baños | 202 m² útiles;Echeñique / Hamburgo, Metro Simón Bolivar, Ñuñoa;-33.4463189;-70.5767067;Echeñique / Hamburgo, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Amplio Terreno Con Casa, Ideal Para Inversión.;19600;CLF;9 dormitorios;5 baños;252 m² útiles;9 dormitorios | 5 baños | 252 m² útiles;Banco De Chile 4054, Santiago, Ñuñoa, Chile, Parque Juan XXIII, Ñuñoa;-33.4543164;-70.5936358;Banco De Chile 4054, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Bremen, Irarrazaval, Plaza Pedro Montt;11800;CLF;5 dormitorios;2 baños;200 m² útiles;5 dormitorios | 2 baños | 200 m² útiles;BREMEN, IRARRAZAVAL, PLAZA PEDRO MONTT, Plaza Egaña, Ñuñoa;-33.45234904038406;-70.57786798002536;BREMEN, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Condominio Cerrada / Amapolas ;8900;CLF;4 dormitorios;3 baños;180 m² útiles;4 dormitorios | 3 baños | 180 m² útiles;Amapolas 4500 - 4800, Ñuñoa, Amapolas, Ñuñoa;-33.4399264;-70.5807866;Amapolas 4500 - 4800, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Hermosa Casa Inmejorable Ubicación;7600;CLF;5 dormitorios;2 baños;136 m² útiles;5 dormitorios | 2 baños | 136 m² útiles;Arturo Medina, 1 - 300, Amapolas, Ñuñoa;-33.44090715447077;-70.57533353269008;Arturo Medina, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta En Ñuñoa;10490;CLF;3 dormitorios;2 baños;119 m² útiles;3 dormitorios | 2 baños | 119 m² útiles;Montenegro / Echeñique, Parque Botánico, Ñuñoa;-33.445138132265015;-70.58905169191026;Montenegro / Echeñique, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 3 Dorm. En Ñuñoa;11800;CLF;3 dormitorios;2 baños;99 m² útiles;3 dormitorios | 2 baños | 99 m² útiles;Plaza Ñuñoa/Amapolas, Parque Botánico, Ñuñoa;-33.4543164;-70.5936358;Plaza Ñuñoa/Amapolas, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Sector Seguro De La Comuna De Ñuñoa;10990;CLF;4 dormitorios;2 baños;134 m² útiles;4 dormitorios | 2 baños | 134 m² útiles;Metro Principe De Gales, Diego De Almagro, Ñuñoa;-33.4392047;-70.5731497;Principe De Gales, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 5 Dorm. En Ñuñoa;14900;CLF;5 dormitorios;3 baños;290 m² útiles;5 dormitorios | 3 baños | 290 m² útiles;Plaza Eusebio Lillo/ A Dos Calles De Estación De Metro, Metro Ñuñoa, Ñuñoa;-33.45755475;-70.60715688924765;Plaza Eusebio Lillo/ A Dos Calles De Estación De, Ñuñoa, Santiago, Chile
2025-11-29 18:08:24;Ñuñoa;casa;Casa En Venta De 4 Dorm. En Ñuñoa;17700;CLF;4 dormitorios;5 baños;340 m² útiles;4 dormitorios | 5 baños | 340 m² útiles;Simón Bolivar/Coventry, Plaza Egaña, Ñuñoa;-33.448348;-70.5809246;Simón Bolivar/Coventry, Ñuñoa, Santiago, Chile
