fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url;latitud;longitud;direccion_geocoded
2025-11-29 18:15:00;Santiago;casa;Increíble 14 Dormitorios Totalmente Remodelada Nueva, Metro;8500;CLF;14 dormitorios;6 baños;154 m² útiles;14 dormitorios | 6 baños | 154 m² útiles;Moneda 3067, 8350570 Santiago, Región Metropolitana, Chile, Barrio Yungay, Santiago;;-33.4447249;-70.6769085;Moneda 3067, Santiago, Santiago, Chile
2025-11-29 18:15:00;Santiago;casa;Propiedad Patrimonial 2270 M2 Sn Pablo Entre Bulnes Cumming;28443;CLF;10 dormitorios;10 baños;1.232 m² útiles;10 dormitorios | 10 baños | 1.232 m² útiles;San Pablo 2312, Santiago, Barrio Yungay, Santiago;;-33.4350131;-70.6692821;San Pablo 2312, Santiago, Santiago, Chile
2025-11-29 18:15:00;Santiago;casa;Vendo Casa Pleno Centro Santiago;175000000;CLP;2 dormitorios;1 baño;88 m² útiles;2 dormitorios | 1 baño | 88 m² útiles;Gorbea 2020, Santiago, Ejército - Toesca, Santiago;;-33.4526823;-70.6634303;Gorbea 2020, Santiago, Santiago, Chile
2025-11-29 18:15:00;Santiago;casa;Negocio Con Espacios Habitables.2d.2b.;115000000;CLP;2 dormitorios;2 baños;105 m² útiles;2 dormitorios | 2 baños | 105 m² útiles;San Isidro 958, Santiago, Barrio Diez De Julio, Santiago;;-33.4561885;-70.6412527;San Isidro 958, Santiago, Santiago, Chile
2025-11-29 18:15:00;Santiago;casa;Casa En Venta De 8 Dorm. En Santiago;4800;CLF;8 dormitorios;1 baño;290 m² útiles;8 dormitorios | 1 baño | 290 m² útiles;Av. Mapocho / Esperanza, Parque Los Reyes, Santiago;;-18.497207;-70.2846087;Av. Mapocho / Esperanza, Santiago, Santiago, Chile
2025-11-29 18:15:00;Santiago;casa;¡oportunidad Única En Barrio República!;4500;CLF;2 dormitorios;2 baños;72 m² útiles;2 dormitorios | 2 baños | 72 m² útiles;Echaurren 546, Santiago, Barrio República, Santiago;;-33.454858;-70.6659251;Echaurren 546, Santiago, Santiago, Chile
2025-11-29 18:15:00;Santiago;casa;Casa Remodelada Regularizada - Residencial/oficina/comercial;129999990;CLP;5 dormitorios;2 baños;110 m² útiles;5 dormitorios | 2 baños | 110 m² útiles;Lima 1040, Santiago, Barrio Diez De Julio, Santiago;;-33.4568684;-70.6391834;Lima 1040, Santiago, Santiago, Chile
2025-11-29 18:15:00;Santiago;casa;Casa En Venta En Barrio Yungay, Santiago;4950;CLF;3 dormitorios;2 baños;56 m² útiles;3 dormitorios | 2 baños | 56 m² útiles;Gral. Bulnes 520, Santiago, Barrio Yungay, Santiago;;-53.175891;-70.9238311;Gral. Bulnes 520, Santiago, Santiago, Chile
2025-11-29 18:15:00;Santiago;casa;Casa En Venta En Barrio Yungay;4850;CLF;4 dormitorios;2 baños;60 m² útiles;4 dormitorios | 2 baños | 60 m² útiles;Catedral 2453, 8350355 Santiago, Región Metropolitana, Chile, Barrio Yungay, Santiago;;-33.4393;-70.6710155;Catedral 2453, Santiago, Santiago, Chile
2025-11-29 18:15:00;Santiago;casa;Casa En Venta Excelente Ubicaccion, Metro Toesca;102000000;CLP;4 dormitorios;1 baño;83 m² útiles;4 dormitorios | 1 baño | 83 m² útiles;Toesca 2031, Depto B, Santiago, Ejército - Toesca, Santiago;;-33.4534895;-70.6635817;Toesca 2031, Santiago, Santiago, Chile
2025-11-29 18:15:00;Santiago;casa;Propiedad Habitacional Y/o Oficina, Excelente Ubicacion;320000000;CLP;6 dormitorios;4 baños;347 m² útiles;6 dormitorios | 4 baños | 347 m² útiles;Toesca 2037, Santiago, Ejército - Toesca, Santiago;;-33.4537132;-70.6636363;Toesca 2037, Santiago, Santiago, Chile
