fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url
2025-11-29 17:05:26;Estación Central;departamento;Edificio Ecuador - Norte Verde;2405;CLF;Estudio a 2 dormitorios;1 baño;22 - 42 m² útiles;Estudio a 2 dormitorios | 1 baño | 22 - 42 m² útiles;Coronel Godoy 0157, Estación Central, San Alberto Hurtado, Estación Central;
2025-11-29 17:05:26;Estación Central;departamento;Edificio Ecuador;1975;CLF;Estudio a 2 dormitorios;1 baño;22 - 42 m² útiles;Estudio a 2 dormitorios | 1 baño | 22 - 42 m² útiles;Coronel Godoy 0157, Estación Central, San Alberto Hurtado, Estación Central;
2025-11-29 17:05:26;Estación Central;departamento;Edificio Coronel Souper;1880;CLF;1 dormitorio;1 baño;32 m² útiles;1 dormitorio | 1 baño | 32 m² útiles;Coronel Souper 4438, San Alberto Hurtado, Estación Central;
2025-11-29 17:05:26;Estación Central;departamento;Conde Del Maule 4236;1790;CLF;1 a 2 dormitorios;1 a 2 baños;33 - 57 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 33 - 57 m² útiles;Conde Del Maule 4236, San Alberto Hurtado, Estación Central;
2025-11-29 17:05:26;Estación Central;departamento;Edificio Amengual;3422;CLF;2 dormitorios;2 baños;48 - 57 m² útiles;2 dormitorios | 2 baños | 48 - 57 m² útiles;Cnel. Souper 4515, Metro Ecuador, Estación Central;
2025-11-29 17:05:26;Estación Central;departamento;Barrio Parque Santiago;2368;CLF;2 a 3 dormitorios;1 a 2 baños;40 - 54 m² útiles;2 a 3 dormitorios | 1 a 2 baños | 40 - 54 m² útiles;Los Gladiolos 4799, Santiago, Estación Central, Chile, Metro Ecuador, Estación Central;
2025-11-29 17:05:26;Estación Central;departamento;Edificio Toro Mazote;2100;CLF;1 a 2 dormitorios;1 a 2 baños;30 - 43 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 30 - 43 m² útiles;Toro Mazote 150, San Alberto Hurtado, Estación Central;
2025-11-29 17:05:26;Estación Central;departamento;Edificio Caiquén;1450;CLF;1 a 2 dormitorios;1 a 2 baños;24 - 47 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 24 - 47 m² útiles;María Rozas Velásquez 45, Metro Las Rejas, Estación Central;
2025-11-29 17:05:26;Estación Central;departamento;Eco Estación;1761;CLF;Estudio a 2 dormitorios;1 a 2 baños;28 - 50 m² útiles;Estudio a 2 dormitorios | 1 a 2 baños | 28 - 50 m² útiles;Placilla 65, Santiago, Estación Central, San Alberto Hurtado, Estación Central;
2025-11-29 17:05:26;Estación Central;departamento;Ciudadano Pezoa;2219;CLF;Estudio a 2 dormitorios;1 a 2 baños;23 - 48 m² útiles;Estudio a 2 dormitorios | 1 a 2 baños | 23 - 48 m² útiles;Carlos Pezoa Véliz 190, Estación Central, Metro Las Rejas, Estación Central;
2025-11-29 17:05:26;Estación Central;departamento;Departamento En Venta De 1 Dorm. En Estación Central;1650;CLF;1 dormitorio;1 baño;32 m² útiles;1 dormitorio | 1 baño | 32 m² útiles;AV. VICTOR JARA / AV. ALAMEDA LIBERTADOR BERNARDO O´HIGGINS, Universidad De Santiago, Estación Central;
2025-11-29 17:05:26;Estación Central;departamento;Oportunidad! 2 Dorm 2 Baños, Uno En Suite, Metro;63000000;CLP;2 dormitorios;2 baños;43 m² útiles;2 dormitorios | 2 baños | 43 m² útiles;REAL OPORTUNIDAD!!  Av. Ecuador, 4707, Metro Ecuador, Estación Central;
2025-11-29 17:05:26;Estación Central;departamento;Depto 2 Dorm. Av Ecuador 3866 Metro Venta Sin Comisión;2190;CLF;2 dormitorios;2 baños;46 m² útiles;2 dormitorios | 2 baños | 46 m² útiles;Av. Ecuador 3866, San Alberto Hurtado, Estación Central;
2025-11-29 17:05:26;Estación Central;departamento;Av. Ecuador 3866, 2 Dormitorios, Sin Comisión;1890;CLF;2 dormitorios;2 baños;48 m² útiles;2 dormitorios | 2 baños | 48 m² útiles;Av. Ecuador 3866, Estación Central, San Alberto Hurtado, Estación Central;
2025-11-29 17:05:26;Estación Central;departamento;Departamento 2 Dormitorios Coronel Souper 4158 Sin Comision;1390;CLF;2 dormitorios;1 baño;43 m² útiles;2 dormitorios | 1 baño | 43 m² útiles;Coronel Souper 4158, Santiago, Estación Central, Chile, San Alberto Hurtado, Estación Central;
