fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url
2025-11-29 17:49:50;Ñuñoa;departamento;Guillermo Mann 1401 - Euro;4280;CLF;2 dormitorios;1 a 2 baños;46 - 57 m² útiles;2 dormitorios | 1 a 2 baños | 46 - 57 m² útiles;Guillermo Mann 1401, Ñuñoa, Estadio Nacional, Ñuñoa;
2025-11-29 17:49:50;Ñuñoa;departamento;Vicuña Mackenna 1194 - Stitchkin;5801;CLF;2 dormitorios;2 baños;60 - 62 m² útiles;2 dormitorios | 2 baños | 60 - 62 m² útiles;Av. Vicuña Mackenna 1194, Providencia, Ñuñoa, Parque San Eugenio - Metro Ñuble, Ñuñoa;
2025-11-29 17:49:50;Ñuñoa;departamento;Vicuña Mackenna 1432 - Euro;3484;CLF;1 a 2 dormitorios;1 a 2 baños;29 - 54 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 29 - 54 m² útiles;Av. Vicuña Mackenna 1432, Ñuñoa, Parque San Eugenio - Metro Ñuble, Ñuñoa;
2025-11-29 17:49:50;Ñuñoa;departamento;Edificio Lux;6334;CLF;2 a 3 dormitorios;2 baños;60 - 93 m² útiles;2 a 3 dormitorios | 2 baños | 60 - 93 m² útiles;José Domingo Cañas 2681, Metro Ñuñoa, Ñuñoa;
2025-11-29 17:49:50;Ñuñoa;departamento;Edificio Step;2550;CLF;1 a 2 dormitorios;1 a 2 baños;21 - 60 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 21 - 60 m² útiles;Marchant Pereira 3350, Metro Ñuñoa, Ñuñoa;
2025-11-29 17:49:50;Ñuñoa;departamento; Almagro San Eugenio ;2590;CLF;Estudio a 2 dormitorios;1 a 2 baños;25 - 68 m² útiles;Estudio a 2 dormitorios | 1 a 2 baños | 25 - 68 m² útiles;San Eugenio 509, Parque San Eugenio - Metro Ñuble, Ñuñoa;
2025-11-29 17:49:50;Ñuñoa;departamento;Nueva Ñuñoa;2405;CLF;1 a 2 dormitorios;1 a 2 baños;27 - 51 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 27 - 51 m² útiles;Gaspar Villarroel 1840, Estadio Nacional, Ñuñoa;
2025-11-29 17:49:50;Ñuñoa;departamento;Almagro Plus;3190;CLF;1 a 3 dormitorios;1 a 2 baños;35 - 91 m² útiles;1 a 3 dormitorios | 1 a 2 baños | 35 - 91 m² útiles;Av. José Pedro Alessandri 1427, Ñuñoa, Estadio Nacional, Ñuñoa;
2025-11-29 17:49:50;Ñuñoa;departamento;Edificio Doménica;5200;CLF;2 a 3 dormitorios;2 a 3 baños;58 - 106 m² útiles;2 a 3 dormitorios | 2 a 3 baños | 58 - 106 m² útiles;Fernández Concha 115, Metro Irarrázaval, Ñuñoa;
2025-11-29 17:49:50;Ñuñoa;departamento;Boheme;2574;CLF;1 a 2 dormitorios;1 a 2 baños;31 - 48 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 31 - 48 m² útiles;Los Alerces 2375, Ñuñoa, Chile, Estadio Nacional, Ñuñoa;
