fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url
2025-11-29 17:50:59;Santiago;departamento;Edificio San Francisco 1204 - Norte Verde;3372;CLF;1 dormitorio;1 baño;29 m² útiles;1 dormitorio | 1 baño | 29 m² útiles;San Francisco 1204, Santiago, Parque O'Higgins, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Edificio Vergara Domeyko - Norte Verde;3601;CLF;1 dormitorio;1 baño;29 - 30 m² útiles;1 dormitorio | 1 baño | 29 - 30 m² útiles;Vergara 701, Santiago, Ejército - Toesca, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Edificio Parque Quinta - Norte Verde;3213;CLF;1 dormitorio;1 baño;30 - 40 m² útiles;1 dormitorio | 1 baño | 30 - 40 m² útiles;Santo Domingo 3902, Santiago, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Santa Elvira - Norte Verde;4177;CLF;1 dormitorio;1 baño;34 m² útiles;1 dormitorio | 1 baño | 34 m² útiles;Sta. Elvira 97, Santiago, Bogotá - Sierra Bella, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Edificio Lira 622 - Norte Verde;3213;CLF;Estudio a 1 dormitorios;1 baño;23 - 31 m² útiles;Estudio a 1 dormitorios | 1 baño | 23 - 31 m² útiles;Lira 622, Santiago, Santa Isabel, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Carmen Root - Brick;2531;CLF;Estudio a 2 dormitorios;1 a 2 baños;28 - 52 m² útiles;Estudio a 2 dormitorios | 1 a 2 baños | 28 - 52 m² útiles;Root 555, Santiago, Santa Isabel, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Miraflores 476 - Brick;3140;CLF;Estudio a 2 dormitorios;1 a 2 baños;26 - 52 m² útiles;Estudio a 2 dormitorios | 1 a 2 baños | 26 - 52 m² útiles;Miraflores 476, Santiago, Centro Histórico De Santiago, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Edificio Origen Atacama - Norte Verde;3313;CLF;1 dormitorio;1 baño;29 - 34 m² útiles;1 dormitorio | 1 baño | 29 - 34 m² útiles;Maipú 1196, Santiago, Parque Los Reyes, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Tarapacá 1140 - Brick;2444;CLF;Estudio a 1 dormitorios;1 baño;24 - 38 m² útiles;Estudio a 1 dormitorios | 1 baño | 24 - 38 m² útiles;Tarapacá 1140, Santiago, Bulnes, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Diagonal Vicuña - Euro;3074;CLF;1 a 2 dormitorios;1 a 2 baños;28 - 56 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 28 - 56 m² útiles;Sta. Elena 2000, Santiago, Bogotá - Sierra Bella, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Santa Elena 1670 - Euro;2920;CLF;1 a 2 dormitorios;1 a 2 baños;29 - 50 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 29 - 50 m² útiles;Sta. Elena 1670, Santiago, Bogotá - Sierra Bella, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Rosas 1444 - Euro;3046;CLF;1 a 2 dormitorios;1 a 2 baños;28 - 55 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 28 - 55 m² útiles;Rosas 1438, Santiago, Centro Histórico De Santiago, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Carmen 339 - Brick;2327;CLF;Estudio a 2 dormitorios;1 a 2 baños;19 - 47 m² útiles;Estudio a 2 dormitorios | 1 a 2 baños | 19 - 47 m² útiles;Carmen 339, Santiago, Santa Isabel, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Eleuterio Ramírez 645 - Stitchkin;3152;CLF;Estudio a 2 dormitorios;1 a 2 baños;25 - 53 m² útiles;Estudio a 2 dormitorios | 1 a 2 baños | 25 - 53 m² útiles;Eleuterio Ramírez 645, Santiago, Santa Isabel, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Edificio San Francisco 1204;2967;CLF;1 dormitorio;1 baño;29 m² útiles;1 dormitorio | 1 baño | 29 m² útiles;San Francisco 1204, Santiago, Parque O'Higgins, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Santa Elvira;3342;CLF;1 dormitorio;1 baño;34 m² útiles;1 dormitorio | 1 baño | 34 m² útiles;Sta. Elvira 97, Santiago, Bogotá - Sierra Bella, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Edificio Vergara Domeyko;3299;CLF;1 dormitorio;1 baño;29 - 32 m² útiles;1 dormitorio | 1 baño | 29 - 32 m² útiles;Vergara 701, Santiago, Ejército - Toesca, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Edificio Lira 622;3070;CLF;1 dormitorio;1 baño;28 - 38 m² útiles;1 dormitorio | 1 baño | 28 - 38 m² útiles;Lira 622, Santiago, Santa Isabel, Santiago;
2025-11-29 17:50:59;Santiago;departamento;Chiloé-prat;2540;CLF;1 a 2 dormitorios;1 a 2 baños;30 - 50 m² útiles;1 a 2 dormitorios | 1 a 2 baños | 30 - 50 m² útiles;Arturo Prat 1464, Parque O'Higgins, Santiago;
