fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url
2025-11-29 18:01:37;La Reina;departamento;Vista Egaña;3600;CLF;1 a 3 dormitorios;1 a 3 baños;33 - 90 m² útiles;1 a 3 dormitorios | 1 a 3 baños | 33 - 90 m² útiles;Arrieta Cañas 5725, La Reina, Chile, Francisco De Villagra, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Edificio Nativa;9990;CLF;3 dormitorios;3 baños;100 m² útiles;3 dormitorios | 3 baños | 100 m² útiles;Av. Tobalaba 8229, Francisco De Villagra, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Plaza Helsinski;9914;CLF;3 a 4 dormitorios;3 a 4 baños;115 - 134 m² útiles;3 a 4 dormitorios | 3 a 4 baños | 115 - 134 m² útiles;Arrieta Cañas 5770, La Reina, Blest Gana, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Duplex Remodelado Como Nuevo (2d-1b) -  Pepe Vila, La Reina;2740;CLF;2 dormitorios;1 baño;54 m² útiles;2 dormitorios | 1 baño | 54 m² útiles;Pepe Vila 440, La Reina, Pepe Vila, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Amplio Y Luminoso, En Excelente Ubicación;8300;CLF;2 dormitorios;2 baños;85 m² útiles;2 dormitorios | 2 baños | 85 m² útiles;Carlos Silva Vildósola 9363, La Reina, La Reina Alta, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Venta Departamento En La Reina 3d 2b;8800;CLF;3 dormitorios;2 baños;120 m² útiles;3 dormitorios | 2 baños | 120 m² útiles;Metro Simón Bolivar, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Luminoso Con Vista Despejada Y Gran Conectividad;6790;CLF;2 dormitorios;2 baños;77 m² útiles;2 dormitorios | 2 baños | 77 m² útiles;Las Arañas ,, Metro Príncipe De Gales - Country Club, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Departamento En Venta En La Reina Alta;14500;CLF;3 dormitorios;3 baños;180 m² totales;3 dormitorios | 3 baños | 180 m² totales;Nicanor Pl. 2377, La Reina, La Reina Alta, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Espectacular Dpto. La Reina 4d+4b+2est.+ Bod Oportunidad;7600;CLF;4 dormitorios;4 baños;95 m² útiles;4 dormitorios | 4 baños | 95 m² útiles;Helsinski 5740, La Reina, Blest Gana, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Departamento A Pasos Mall Plaza Egaña / Metro.;159990000;CLP;2 dormitorios;1 baño;55 m² útiles;2 dormitorios | 1 baño | 55 m² útiles;Lynch Nte. 345, La Reina, Metro Simón Bolivar, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Depto Nuevo Con Patio Privado Frente Parque Tobalaba Y Metro;8390;CLF;2 dormitorios;2 baños;69 m² útiles;2 dormitorios | 2 baños | 69 m² útiles;Av. Tobalaba 8229, La Reina, Francisco De Villagra, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Departamento Barrio Metro Simón Bolívar La Reina;4590;CLF;3 dormitorios;1 baño;67 m² útiles;3 dormitorios | 1 baño | 67 m² útiles;Av. Ossa 727, La Reina, Metro Simón Bolivar, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Departamento Principe De Gales 3d-2b-1e-1bod.;6500;CLF;3 dormitorios;2 baños;94 m² útiles;3 dormitorios | 2 baños | 94 m² útiles;Las Arañas, La Reina, Metro Príncipe De Gales - Country Club, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Departamento 1er Piso;3400;CLF;2 dormitorios;1 baño;45 m² útiles;2 dormitorios | 1 baño | 45 m² útiles;Av. Larraín, La Reina, Metro Simón Bolivar, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Departamento Con Vista Al Parque;15800;CLF;4 dormitorios;3 baños;187 m² útiles;4 dormitorios | 3 baños | 187 m² útiles;Nicanor Pl., La Reina Alta, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Departamento En Venta En Simón Bolívar;6200;CLF;3 dormitorios;2 baños;78 m² útiles;3 dormitorios | 2 baños | 78 m² útiles;Av. Simón Bolívar 6371, La Reina, Metro Simón Bolivar, La Reina;
2025-11-29 18:01:37;La Reina;departamento;Moderno Departamento Con Maravillosa Vista A Santiago;10180;CLF;2 dormitorios;3 baños;134 m² útiles;2 dormitorios | 3 baños | 134 m² útiles;La Reina Alta, La Reina;
